84;El innombrable;El Cuarteto De Nos;216;Apocalipsis Zombi;39;
85;Invierno del 92;El Cuarteto De Nos;242;Raro;39;
86;Insaciable;El Cuarteto De Nos;231;Porfiado;39;
87;Breve descripcion de mi persona;El Cuarteto De Nos;222;Bipolar;39;
88;Reflektor;Arcade Fire;450;Reflektor;41;
89;Fils de joie;Stromae;195;Multitude;42;
90;Bonne journee;Stromae;192;Multitude;42;
91;Believer;Imagine Dragons;204;Evolve;43;
92;Bones;The Killers;227;Sam's Town;44;
93;Somebody Told Me;The Killers;197;Hot Fuss;44;
94;Bones;Imagine Dragons;165;Bones;43;
95;Runaway;Bon Jovi;230;Bon Jovi;7;
96;Beautiful World;Bon Jovi;228;What About Now;7;
97;The One That Got Away;Bon Jovi;287;100,000,000 Bon Jovi Fans Can't Be Wrong;7;
98;Open All Night;Bon Jovi;347;Bounce;7;
99;Open All Night;Bon Jovi;347;100,000,000 Bon Jovi Fans Can't Be Wrong;7;
100;Hallelujah;Bon Jovi;361;Lost Highway;7;
101;Runaway;AURORA;248;All My Demons Greeting Me As A Friend (Deluxe);46;
102;Warriors;Freedom Call;261;Eternity;77;
103;Warriors;Imagine Dragons;170;Warriors;43;
104;Hey Jude;The Beatles;425;1;48;
105;Hey Jude;Paul McCartney;421;Back In The U.S.;49;
106;Beautiful World;Hikaru Utada;317;HEART STATION;50;
107;Shy;Sonata Arctica;256;Takatalvi;47;
108;Still Loving You;Sonata Arctica;272;Takatalvi;47;
109;Fade to Black;Sonata Arctica;343;Takatalvi;47;
110;Still Loving You;Scorpions;386;Love At First Sting;51;
111;Rock You Like A Hurricane;Scorpions;252;Love At First Sting;51;
112;Because the Night;Patti Smith;204;Easter;52;
113;Because the Night;Garbage & Screaming Girls;299;No Gods No Masters;53;
114;Because the Night;Cascada;203;Perfect Day;54;
115;Umbrella;Rihanna;274;Good Girl Gone Bad;76;
116;Umbrella;Ember Island;237;Umbrella;75;
117;Te quiero;Hombres G;225;La Cagaste... Burt Lancaster;74;
118;El ataque de las chicas cocodrilo;Hombres G;184;La Cagaste... Burt Lancaster;74;
119;Take on Me;A-ha;225;Hunting High and Low;73;
120;Take on Me;Northern Kings;236;Rethroned;72;
121;Fairytale Of New York;Bon Jovi;297;A Jon Bon Jovi Christmas;7;
122;Pensando en ti;Mago de Oz;268;Rarezas;70;
123;Morire siendo de ti;Mago de Oz;253;Ilussia;70;
124;Ilussia;Mago de Oz;474;Ilussia;70;
125;Pensando en ti;Angeles Del Infierno;286;Joven Para Morir;69;
126;Pensando en Ti;Mar de Copas;266;Seis;34;
127;House of the Rising Sun;The Animals;270;Most of the Animals;67;
128;House of the Rising Sun;Five Finger Death Punch;247;The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 2;68;
129;Fade To Black;Metallica;417;Ride The Lightning;6;
130;Fairytale of New York;Tore;220;Acoustic Christmas;66;
131;Fairytale Of New York;BANNERS;188;Have Yourself A Merry Little Christmas;65;
132;Fairytale Of New York;The Pogues;272;If I Should Fall from Grace with God;64;
133;Enter Sandman;Metallica;330;Metallica;6;
134;Enter Sandman;The Warning;262;Enter Sandman;63;
135;The One;The Warning;258;Queen of the Murder Scene;63;
136;Beggin';Maneskin;212;Chosen;60;
137;Beggin';Frankie Valli & The Four Seasons;169;Jersey Beat: The Music Of Frankie Valli and The Four Seasons;62;
138;Beggin';Madcon;219;Beggin;61;
139;The One That Got Away;Katy Perry;227;Teenage Dream;59;
140;Hallelujah;Pentatonix;268;A Pentatonix Christmas;55;
141;Hallelujah;Leonard Cohen;277;Various Positions;56;
142;Hallelujah;Jeff Buckley;413;Grace;57;
143;Smokin Out The Window;Bruno Mars;197;An Evening With Silk Sonic;30;
144;After Last Night;Bruno Mars;249;An Evening With Silk Sonic;30;
145;If I Knew;Bruno Mars;132;Unorthodox Jukebox;30;
146;No Buses;Arctic Monkeys;197;Who The F*** Are Arctic Monkeys?;78;
147;The Ultracheese;Arctic Monkeys;217;Tranquility Base Hotel & Casino;78;
148;505;Arctic Monkeys;253;Favourite Worst Nightmare;78;
149;Despair In The Departure Lounge;Arctic Monkeys;202;Who The F*** Are Arctic Monkeys?;78;
150;Cigarette Smoke Fiona;Arctic Monkeys;202;Who The F*** Are Arctic Monkeys?;78;
151;Do I Wanna Know?;Arctic Monkeys;272;AM;78;
152;All too well;Taylor Swift;329;Red (Taylor's Version);79;
153;Stay Stay Stay;Taylor Swift;205;Red (Taylor's Version);79;
154;State of Grace;Taylor Swift;295;Red (Taylor's Version);79;
155;Better Man;Taylor Swift;297;Red (Taylor's Version);79;
156;The Moment I Knew;Taylor Swift;285;Red (Taylor's Version);79;
157;Starlight;Taylor Swift;220;Red (Taylor's Version);79;
158;Mr. Perfectly Fine;Taylor Swift;277;Fearless(Taylor's Version);79;
159;You Belong With Me;Taylor Swift;231;Fearless(Taylor's Version);79;
160;The Way I Loved You;Taylor Swift;243;Fearless(Taylor's Version);79;
161;The Best Day;Taylor Swift;245;Fearless(Taylor's Version);79;
162;Lover;Taylor Swift;221;Lover;80;
